"Photon energy, eV","n","k"
1.8414951793176646,3.4246,3.2191
1.8933219429350188,3.4161,3.2013
1.9465904798502145,3.4054,3.1858
2.0013589577578643,3.3924,3.1723
2.057658077057501,3.3772,3.1606
2.11555450692932,3.3597,3.1508
2.175046706894369,3.34,3.1427
2.236246008208425,3.318,3.1362
2.2991541637262123,3.2937,3.1312
2.3638548604976113,3.267,3.1275
2.430347690543952,3.2381,3.125
2.4987240257381185,3.2068,3.1238
2.569034778249512,3.1731,3.1235
2.641333349661264,3.137,3.1241
2.7156165111507735,3.0984,3.1255
2.792059348581266,3.0574,3.1275
2.8706023808918455,3.0138,3.13
2.9513720258301723,2.9677,3.1328
3.034365820682812,2.919,3.1358
3.119726924490456,2.8678,3.1388
3.207538351350435,2.8139,3.1415
3.2978026234998326,2.7574,3.1439
3.390510485481834,2.6983,3.1456
3.485933236795336,2.6366,3.1466
3.583979517635998,2.5723,3.1464
3.684851173450819,2.5055,3.145
3.7885530597414814,2.4362,3.142
3.895076731271393,2.3646,3.1372
4.0046572168313865,2.2907,3.1302
4.1174344923319515,2.2147,3.121
4.233275998125503,2.1368,3.1091
4.352307629202784,2.0573,3.0944
4.4748326211101785,1.9763,3.0766
4.60069714769007,1.8942,3.0554
4.730054457237132,1.8112,3.0308
4.86326929603435,1.7278,3.0024
4.999967231241671,1.6444,2.9702
